claw length cm,endangered,size cm,specie,sub specie,tail length cm,weight kg
7.154,vulnerable,64.282,three toed,Maned three toed sloth,4.861,4.336
8.978,vulnerable,61.977,three toed,Maned three toed sloth,4.151,5.635
7.268,vulnerable,61.703,three toed,Maned three toed sloth,4.935,4.902
7.045,vulnerable,62.952,three toed,Maned three toed sloth,5.412,3.441
6.674,vulnerable,64.169,three toed,Maned three toed sloth,4.574,4.937
5.298,vulnerable,64.139,three toed,Maned three toed sloth,6.986,5.864
6.765,vulnerable,64.484,three toed,Maned three toed sloth,7.348,5.356
7.215,vulnerable,65.057,three toed,Maned three toed sloth,3.841,4.695
9.341,vulnerable,63.135,three toed,Maned three toed sloth,5.712,6.341
7.003,vulnerable,62.148,three toed,Maned three toed sloth,4.887,7.478
7.126,vulnerable,62.356,three toed,Maned three toed sloth,2.835,6.246
6.039,vulnerable,63.989,three toed,Maned three toed sloth,5.699,5.608
7.652,vulnerable,63.205,three toed,Maned three toed sloth,6.265,5.159
7.084,vulnerable,65.176,three toed,Maned three toed sloth,4.118,6.094
6.884,vulnerable,62.845,three toed,Maned three toed sloth,4.214,5.512
7.156,vulnerable,63.034,three toed,Maned three toed sloth,5.713,6.79
6.631,vulnerable,63.738,three toed,Maned three toed sloth,5.652,5.804
8.3,vulnerable,62.134,three toed,Maned three toed sloth,3.748,5.703
7.669,vulnerable,62.638,three toed,Maned three toed sloth,4.821,5.32
5.872,vulnerable,64.69,three toed,Maned three toed sloth,4.964,7.565
7.196,vulnerable,63.364,three toed,Maned three toed sloth,4.786,4.651
7.046,vulnerable,64.604,three toed,Maned three toed sloth,3.823,5.493
6.4,vulnerable,65.015,three toed,Maned three toed sloth,6.268,5.977
6.432,vulnerable,63.064,three toed,Maned three toed sloth,5.732,5.978
8.349,vulnerable,63.066,three toed,Maned three toed sloth,4.642,6.435
6.696,vulnerable,63.073,three toed,Maned three toed sloth,4.914,5.425
6.143,vulnerable,62.76,three toed,Maned three toed sloth,6.698,7.476
7.121,vulnerable,64.721,three toed,Maned three toed sloth,4.865,5.207
7.888,vulnerable,62.333,three toed,Maned three toed sloth,4.663,5.009
8.033,vulnerable,64.321,three toed,Maned three toed sloth,4.198,4.853
8.434,vulnerable,63.629,three toed,Maned three toed sloth,4.738,4.698
6.706,vulnerable,63.676,three toed,Maned three toed sloth,3.575,6.01
7.79,vulnerable,62.203,three toed,Maned three toed sloth,3.814,3.981
9.013,vulnerable,63.051,three toed,Maned three toed sloth,4.001,5.351
7.715,vulnerable,63.971,three toed,Maned three toed sloth,5.733,6.871
7.804,vulnerable,63.218,three toed,Maned three toed sloth,5.199,4.423
8.154,vulnerable,63.618,three toed,Maned three toed sloth,2.526,6.185
7.794,vulnerable,63.957,three toed,Maned three toed sloth,5.257,4.903
6.647,vulnerable,63.525,three toed,Maned three toed sloth,4.101,3.54
7.423,vulnerable,62.331,three toed,Maned three toed sloth,4.752,5.653
8.15,vulnerable,63.207,three toed,Maned three toed sloth,3.58,5.092
9.738,vulnerable,63.562,three toed,Maned three toed sloth,4.508,6.75
6.19,vulnerable,61.987,three toed,Maned three toed sloth,4.331,5.027
8.826,vulnerable,64.488,three toed,Maned three toed sloth,4.32,4.824
9.383,vulnerable,64.055,three toed,Maned three toed sloth,5.889,5.706
7.592,vulnerable,64.316,three toed,Maned three toed sloth,2.963,5.631
6.946,vulnerable,64.423,three toed,Maned three toed sloth,4.242,5.788
7.667,vulnerable,64.312,three toed,Maned three toed sloth,4.738,5.813
7.6,vulnerable,62.699,three toed,Maned three toed sloth,5.579,7.132
7.789,vulnerable,64.287,three toed,Maned three toed sloth,4.881,5.912
7.69,vulnerable,62.524,three toed,Maned three toed sloth,5.805,6.916
6.412,vulnerable,63.749,three toed,Maned three toed sloth,3.961,5.89
5.7,vulnerable,61.946,three toed,Maned three toed sloth,4.257,5.934
6.692,vulnerable,63.378,three toed,Maned three toed sloth,7.262,5.625
7.455,vulnerable,62.357,three toed,Maned three toed sloth,4.629,4.619
8.522,vulnerable,63.937,three toed,Maned three toed sloth,4.73,4.675
7.804,vulnerable,64.829,three toed,Maned three toed sloth,4.566,4.022
7.475,vulnerable,62.713,three toed,Maned three toed sloth,5.26,5.344
7.662,vulnerable,64.995,three toed,Maned three toed sloth,5.33,6.28
6.05,vulnerable,63.637,three toed,Maned three toed sloth,4.612,6.133
8.303,vulnerable,64.857,three toed,Maned three toed sloth,5.493,5.417
6.16,vulnerable,64.326,three toed,Maned three toed sloth,5.128,6.704
9.38,vulnerable,65.837,three toed,Maned three toed sloth,4.894,4.911
8.289,vulnerable,63.384,three toed,Maned three toed sloth,5.021,4.34
7.931,vulnerable,64.22,three toed,Maned three toed sloth,3.006,6.309
7.258,vulnerable,64.128,three toed,Maned three toed sloth,5.246,5.95
9.019,vulnerable,61.702,three toed,Maned three toed sloth,4.898,4.909
6.844,vulnerable,64.31,three toed,Maned three toed sloth,3.152,5.63
7.525,vulnerable,61.507,three toed,Maned three toed sloth,3.361,4.899
7.262,vulnerable,63.678,three toed,Maned three toed sloth,4.989,6.211
5.693,vulnerable,62.684,three toed,Maned three toed sloth,4.545,6.648
8.766,vulnerable,62.454,three toed,Maned three toed sloth,6.256,6.379
6.098,vulnerable,64.251,three toed,Maned three toed sloth,3.006,6.294
10.281,vulnerable,64.186,three toed,Maned three toed sloth,3.827,7.137
6.57,vulnerable,64.369,three toed,Maned three toed sloth,6.378,6.249
8.351,vulnerable,62.249,three toed,Maned three toed sloth,4.297,5.652
7.854,vulnerable,64.309,three toed,Maned three toed sloth,5.848,5.11
8.147,vulnerable,65.173,three toed,Maned three toed sloth,5.496,4.971
8.664,vulnerable,61.723,three toed,Maned three toed sloth,5.507,5.438
6.207,vulnerable,64.5,three toed,Maned three toed sloth,3.859,6.366
7.142,vulnerable,64.038,three toed,Maned three toed sloth,4.171,5.401
7.99,vulnerable,62.65,three toed,Maned three toed sloth,6.114,4.727
6.3,vulnerable,63.686,three toed,Maned three toed sloth,4.376,6.316
8.697,vulnerable,62.256,three toed,Maned three toed sloth,4.129,4.953
5.876,vulnerable,65.015,three toed,Maned three toed sloth,3.224,6.356
7.09,vulnerable,63.53,three toed,Maned three toed sloth,6.137,6.498
9.365,vulnerable,62.094,three toed,Maned three toed sloth,4.321,5.604
5.936,vulnerable,62.92,three toed,Maned three toed sloth,4.966,4.682
8.32,vulnerable,64.523,three toed,Maned three toed sloth,4.952,7.377
6.375,vulnerable,61.809,three toed,Maned three toed sloth,4.425,6.624
7.072,vulnerable,63.023,three toed,Maned three toed sloth,6.715,5.324
8.041,vulnerable,65.159,three toed,Maned three toed sloth,3.643,5.709
8.914,vulnerable,64.757,three toed,Maned three toed sloth,4.681,7.601
10.0,vulnerable,62.688,three toed,Maned three toed sloth,4.54,5.666
6.807,vulnerable,63.262,three toed,Maned three toed sloth,4.576,5.75
7.44,vulnerable,61.337,three toed,Maned three toed sloth,3.416,6.701
7.539,vulnerable,64.871,three toed,Maned three toed sloth,4.196,6.399
6.152,vulnerable,64.478,three toed,Maned three toed sloth,4.143,6.407
8.561,vulnerable,64.593,three toed,Maned three toed sloth,3.687,4.369
6.799,vulnerable,65.383,three toed,Maned three toed sloth,2.913,6.231
8.206,vulnerable,61.442,three toed,Maned three toed sloth,6.036,4.985
6.187,vulnerable,62.061,three toed,Maned three toed sloth,4.258,5.444
8.921,vulnerable,64.373,three toed,Maned three toed sloth,3.808,7.029
6.559,vulnerable,63.081,three toed,Maned three toed sloth,2.018,5.972
6.67,vulnerable,63.702,three toed,Maned three toed sloth,5.91,5.146
8.212,vulnerable,63.978,three toed,Maned three toed sloth,3.924,5.623
8.134,vulnerable,62.468,three toed,Maned three toed sloth,4.536,5.056
7.522,vulnerable,65.305,three toed,Maned three toed sloth,6.538,5.195
8.702,vulnerable,63.607,three toed,Maned three toed sloth,4.333,4.426
6.849,vulnerable,64.24,three toed,Maned three toed sloth,2.966,4.38
5.097,vulnerable,60.906,three toed,Maned three toed sloth,4.095,5.421
5.705,vulnerable,62.847,three toed,Maned three toed sloth,5.941,6.331
7.986,vulnerable,62.981,three toed,Maned three toed sloth,5.936,6.648
5.856,vulnerable,63.464,three toed,Maned three toed sloth,4.05,5.598
7.1,vulnerable,61.642,three toed,Maned three toed sloth,4.956,5.33
7.93,vulnerable,63.799,three toed,Maned three toed sloth,4.975,5.737
8.129,vulnerable,64.019,three toed,Maned three toed sloth,4.641,6.615
7.274,vulnerable,63.147,three toed,Maned three toed sloth,6.363,4.191
8.294,vulnerable,62.804,three toed,Maned three toed sloth,4.934,6.67
7.008,vulnerable,62.967,three toed,Maned three toed sloth,5.437,4.564
7.242,vulnerable,63.616,three toed,Maned three toed sloth,5.43,5.002
7.041,vulnerable,63.985,three toed,Maned three toed sloth,5.511,6.061
7.579,vulnerable,63.101,three toed,Maned three toed sloth,4.174,6.875
7.939,vulnerable,62.701,three toed,Maned three toed sloth,4.765,6.33
8.118,vulnerable,65.036,three toed,Maned three toed sloth,3.319,2.859
8.264,vulnerable,64.423,three toed,Maned three toed sloth,4.654,5.668
7.491,vulnerable,63.17,three toed,Maned three toed sloth,4.316,5.487
9.275,vulnerable,62.885,three toed,Maned three toed sloth,4.396,5.519
8.77,vulnerable,61.936,three toed,Maned three toed sloth,4.868,5.983
8.914,vulnerable,64.381,three toed,Maned three toed sloth,4.512,5.594
9.255,vulnerable,63.147,three toed,Maned three toed sloth,6.084,4.994
7.233,vulnerable,64.541,three toed,Maned three toed sloth,4.95,5.914
7.249,vulnerable,63.532,three toed,Maned three toed sloth,2.677,5.347
8.1,vulnerable,64.488,three toed,Maned three toed sloth,3.864,5.115
6.139,vulnerable,62.8,three toed,Maned three toed sloth,5.208,6.793
7.101,vulnerable,62.291,three toed,Maned three toed sloth,3.793,5.677
9.211,vulnerable,62.639,three toed,Maned three toed sloth,4.396,5.596
7.032,vulnerable,65.962,three toed,Maned three toed sloth,4.971,6.451
7.906,vulnerable,63.639,three toed,Maned three toed sloth,6.189,5.981
7.545,vulnerable,63.488,three toed,Maned three toed sloth,4.385,6.129
8.861,vulnerable,63.503,three toed,Maned three toed sloth,4.157,5.627
6.896,vulnerable,62.811,three toed,Maned three toed sloth,6.267,5.213
6.546,vulnerable,64.309,three toed,Maned three toed sloth,4.593,6.484
9.411,vulnerable,62.424,three toed,Maned three toed sloth,5.877,4.455
6.086,vulnerable,63.904,three toed,Maned three toed sloth,5.909,4.557
7.88,vulnerable,63.456,three toed,Maned three toed sloth,5.85,4.444
7.935,vulnerable,62.824,three toed,Maned three toed sloth,5.196,5.89
7.109,vulnerable,62.739,three toed,Maned three toed sloth,5.541,6.527
6.366,vulnerable,63.424,three toed,Maned three toed sloth,5.847,6.432
6.982,vulnerable,62.471,three toed,Maned three toed sloth,4.297,6.558
6.905,vulnerable,63.459,three toed,Maned three toed sloth,4.851,4.836
6.422,vulnerable,62.809,three toed,Maned three toed sloth,3.671,5.833
7.062,vulnerable,64.996,three toed,Maned three toed sloth,3.396,5.661
5.749,vulnerable,60.699,three toed,Maned three toed sloth,5.258,5.605
7.144,vulnerable,64.116,three toed,Maned three toed sloth,3.936,4.371
6.978,vulnerable,62.094,three toed,Maned three toed sloth,5.933,4.818
7.124,vulnerable,63.765,three toed,Maned three toed sloth,7.195,5.498
10.342,vulnerable,64.229,three toed,Maned three toed sloth,6.616,5.605
7.808,vulnerable,62.714,three toed,Maned three toed sloth,5.5,6.551
7.54,vulnerable,64.27,three toed,Maned three toed sloth,5.772,5.558
7.917,vulnerable,63.753,three toed,Maned three toed sloth,4.952,5.161
7.737,vulnerable,63.078,three toed,Maned three toed sloth,4.568,5.746
6.369,vulnerable,63.83,three toed,Maned three toed sloth,4.088,5.308
7.11,vulnerable,63.825,three toed,Maned three toed sloth,5.281,6.297
7.09,vulnerable,62.236,three toed,Maned three toed sloth,5.794,7.547
7.777,vulnerable,63.267,three toed,Maned three toed sloth,4.767,6.638
7.809,vulnerable,63.268,three toed,Maned three toed sloth,5.056,4.805
6.305,vulnerable,62.909,three toed,Maned three toed sloth,7.107,6.09
7.316,vulnerable,64.309,three toed,Maned three toed sloth,5.996,7.099
7.029,vulnerable,64.918,three toed,Maned three toed sloth,4.855,3.602
6.638,vulnerable,62.981,three toed,Maned three toed sloth,4.398,4.451
8.002,vulnerable,63.051,three toed,Maned three toed sloth,4.891,4.572
7.03,vulnerable,63.156,three toed,Maned three toed sloth,4.234,6.248
8.277,vulnerable,63.443,three toed,Maned three toed sloth,5.033,7.935
7.546,vulnerable,62.909,three toed,Maned three toed sloth,5.521,5.981
5.462,vulnerable,62.918,three toed,Maned three toed sloth,3.295,5.831
8.975,vulnerable,64.295,three toed,Maned three toed sloth,4.873,7.092
9.347,vulnerable,65.115,three toed,Maned three toed sloth,1.783,4.869
10.511,vulnerable,63.946,three toed,Maned three toed sloth,6.559,8.132
9.458,vulnerable,62.154,three toed,Maned three toed sloth,4.835,4.425
6.782,vulnerable,62.818,three toed,Maned three toed sloth,6.381,6.459
7.201,vulnerable,62.548,three toed,Maned three toed sloth,3.975,4.72
5.918,vulnerable,63.596,three toed,Maned three toed sloth,4.245,8.222
6.899,vulnerable,63.233,three toed,Maned three toed sloth,4.163,6.68
9.422,vulnerable,64.178,three toed,Maned three toed sloth,6.34,7.58
8.162,vulnerable,64.121,three toed,Maned three toed sloth,5.87,5.332
6.633,vulnerable,63.959,three toed,Maned three toed sloth,5.569,5.347
8.413,vulnerable,63.776,three toed,Maned three toed sloth,6.469,7.362
5.004,vulnerable,63.055,three toed,Maned three toed sloth,4.889,5.623
7.159,vulnerable,62.337,three toed,Maned three toed sloth,5.087,6.934
6.973,vulnerable,63.342,three toed,Maned three toed sloth,4.631,6.344
7.898,vulnerable,62.384,three toed,Maned three toed sloth,4.984,5.102
7.887,vulnerable,63.452,three toed,Maned three toed sloth,4.724,6.525
7.364,vulnerable,64.377,three toed,Maned three toed sloth,1.112,6.2
6.403,vulnerable,62.647,three toed,Maned three toed sloth,3.505,3.954
7.173,vulnerable,64.081,three toed,Maned three toed sloth,3.958,5.986
8.808,vulnerable,63.704,three toed,Maned three toed sloth,3.732,5.652
7.058,vulnerable,62.734,three toed,Maned three toed sloth,6.096,5.186
8.866,vulnerable,63.967,three toed,Maned three toed sloth,5.276,5.537
8.224,vulnerable,65.008,three toed,Maned three toed sloth,5.965,6.962
8.159,vulnerable,62.576,three toed,Maned three toed sloth,4.359,5.683
10.179,vulnerable,62.822,three toed,Maned three toed sloth,4.565,5.83
7.466,vulnerable,63.895,three toed,Maned three toed sloth,4.655,5.462
7.393,vulnerable,62.166,three toed,Maned three toed sloth,6.597,5.735
8.105,vulnerable,63.257,three toed,Maned three toed sloth,4.561,5.151
7.114,vulnerable,63.712,three toed,Maned three toed sloth,4.15,5.585
8.817,vulnerable,63.353,three toed,Maned three toed sloth,4.418,5.258
7.685,vulnerable,62.622,three toed,Maned three toed sloth,4.3,5.738
7.864,vulnerable,63.248,three toed,Maned three toed sloth,5.351,3.868
7.399,vulnerable,63.836,three toed,Maned three toed sloth,5.797,6.2
8.667,vulnerable,62.118,three toed,Maned three toed sloth,5.001,4.871
5.695,vulnerable,62.67,three toed,Maned three toed sloth,5.057,6.474
7.455,vulnerable,61.481,three toed,Maned three toed sloth,4.66,6.028
6.704,vulnerable,63.896,three toed,Maned three toed sloth,4.464,6.63
6.418,vulnerable,61.505,three toed,Maned three toed sloth,5.916,5.707
9.479,vulnerable,62.626,three toed,Maned three toed sloth,5.177,4.987
4.999,vulnerable,63.586,three toed,Maned three toed sloth,4.697,6.222
7.651,vulnerable,64.602,three toed,Maned three toed sloth,4.144,5.581
7.92,vulnerable,63.145,three toed,Maned three toed sloth,6.4,6.78
6.548,vulnerable,65.432,three toed,Maned three toed sloth,5.377,5.181
6.795,vulnerable,63.084,three toed,Maned three toed sloth,4.928,5.369
7.859,vulnerable,63.999,three toed,Maned three toed sloth,5.537,4.86
8.304,vulnerable,63.249,three toed,Maned three toed sloth,5.101,6.653
6.438,vulnerable,63.47,three toed,Maned three toed sloth,6.572,5.588
8.185,vulnerable,61.542,three toed,Maned three toed sloth,5.006,6.133
9.009,vulnerable,62.897,three toed,Maned three toed sloth,4.733,6.672
6.8,vulnerable,63.232,three toed,Maned three toed sloth,4.807,5.455
6.404,vulnerable,64.161,three toed,Maned three toed sloth,2.829,5.041
7.871,vulnerable,65.494,three toed,Maned three toed sloth,5.609,3.711
6.529,vulnerable,62.786,three toed,Maned three toed sloth,3.414,5.286
7.001,vulnerable,63.95,three toed,Maned three toed sloth,4.135,6.246
7.891,vulnerable,64.9,three toed,Maned three toed sloth,4.559,5.509
7.808,vulnerable,62.75,three toed,Maned three toed sloth,4.235,5.968
9.158,vulnerable,61.981,three toed,Maned three toed sloth,6.13,4.196
9.035,vulnerable,64.503,three toed,Maned three toed sloth,6.355,5.901
6.945,vulnerable,63.602,three toed,Maned three toed sloth,5.574,5.165
8.0,vulnerable,61.541,three toed,Maned three toed sloth,5.084,5.821
7.493,vulnerable,63.116,three toed,Maned three toed sloth,5.611,5.211
7.125,vulnerable,63.416,three toed,Maned three toed sloth,5.327,3.682
7.92,vulnerable,62.121,three toed,Maned three toed sloth,6.196,4.977
6.501,vulnerable,63.341,three toed,Maned three toed sloth,3.629,4.305
7.344,vulnerable,64.65,three toed,Maned three toed sloth,6.45,4.829
7.757,vulnerable,63.232,three toed,Maned three toed sloth,5.619,5.789
7.422,vulnerable,63.587,three toed,Maned three toed sloth,7.141,5.315
7.966,vulnerable,62.811,three toed,Maned three toed sloth,5.366,5.325
8.515,vulnerable,63.786,three toed,Maned three toed sloth,3.877,6.114
7.49,vulnerable,63.146,three toed,Maned three toed sloth,3.996,4.54
7.132,vulnerable,63.713,three toed,Maned three toed sloth,4.866,6.639
6.511,vulnerable,63.052,three toed,Maned three toed sloth,4.992,6.704
8.67,vulnerable,63.035,three toed,Maned three toed sloth,4.918,4.702
6.351,vulnerable,63.3,three toed,Maned three toed sloth,4.343,6.352
6.933,vulnerable,63.202,three toed,Maned three toed sloth,4.278,5.582
6.466,vulnerable,62.332,three toed,Maned three toed sloth,5.011,5.803
6.887,vulnerable,63.374,three toed,Maned three toed sloth,4.517,5.142
8.308,vulnerable,63.154,three toed,Maned three toed sloth,4.604,3.459
6.801,vulnerable,63.156,three toed,Maned three toed sloth,4.714,5.696
6.789,vulnerable,63.724,three toed,Maned three toed sloth,5.594,6.903
5.586,vulnerable,63.745,three toed,Maned three toed sloth,5.585,4.687
6.412,vulnerable,62.971,three toed,Maned three toed sloth,6.572,4.773
7.473,vulnerable,63.798,three toed,Maned three toed sloth,5.394,5.128
7.17,vulnerable,64.941,three toed,Maned three toed sloth,6.17,5.694
6.239,vulnerable,61.503,three toed,Maned three toed sloth,4.203,6.131
7.98,vulnerable,62.666,three toed,Maned three toed sloth,6.315,5.133
6.469,vulnerable,61.927,three toed,Maned three toed sloth,4.343,5.722
7.185,vulnerable,62.947,three toed,Maned three toed sloth,5.168,7.022
7.077,vulnerable,64.353,three toed,Maned three toed sloth,4.203,7.278
9.263,vulnerable,62.408,three toed,Maned three toed sloth,5.778,4.286
5.808,vulnerable,64.193,three toed,Maned three toed sloth,5.277,5.316
7.763,vulnerable,64.659,three toed,Maned three toed sloth,4.189,4.945
