Countries,Type of Coffee,Year,Price paid to Growers in US cents/lb
Tanzania,Robusta,1992,14.84
Thailand,Robusta,1992,20.3
Togo,Robusta,1992,29.83
Trinidad & Tobago,Robusta,1992,69.29
Uganda,Robusta,1992,8.95
Viet Nam,Robusta,1992,30.71
Colombia,Arabica,1993,50.12
Kenya,Arabica,1993,47.64
Tanzania,Arabica,1993,38.28
Bolivia (Plurinational State of),Arabica,1993,27.33
Burundi,Arabica,1993,58.27
Cameroon,Arabica,1993,23.25
Costa Rica,Arabica,1993,54.27
Cuba,Arabica,1993,188.57
Democratic Republic of Congo,Arabica,1993,0.0
Dominican Republic,Arabica,1993,53.12
Ecuador,Arabica,1993,27.66
El Salvador,Arabica,1993,35.35
Guatemala,Arabica,1993,41.43
Haiti,Arabica,1993,14.49
Honduras,Arabica,1993,37.54
India,Arabica,1993,57.92
Jamaica,Arabica,1993,255.54
Madagascar,Arabica,1993,0.0
Malawi,Arabica,1993,57.34
Mexico,Arabica,1993,79.31
Nicaragua,Arabica,1993,0.0
Panama,Arabica,1993,51.77
Papua New Guinea,Arabica,1993,84.92
Peru,Arabica,1993,32.44
Rwanda,Arabica,1993,45.21
Sri Lanka,Arabica,1993,0.0
Uganda,Arabica,1993,25.02
Venezuela,Arabica,1993,0.0
Zambia,Arabica,1993,54.49
Zimbabwe,Arabica,1993,0.0
Angola,Arabica,1993,0.0
Brazil,Arabica,1993,52.88
Ethiopia,Arabica,1993,61.72
Indonesia,Arabica,1993,115.53
Philippines,Arabica,1993,54.2
Thailand,Arabica,1993,0.0
Viet Nam,Arabica,1993,0.0
Angola,Robusta,1993,11.87
Benin,Robusta,1993,0.0
Brazil,Robusta,1993,35.54
Burundi,Robusta,1993,41.8
Cameroon,Robusta,1993,17.4
Central African Republic,Robusta,1993,23.89
Congo,Robusta,1993,18.44
Côte d'Ivoire,Robusta,1993,27.7
Democratic Republic of Congo,Robusta,1993,0.0
Ecuador,Robusta,1993,19.52
Gabon,Robusta,1993,48.11
Ghana,Robusta,1993,0.0
Guinea,Robusta,1993,27.47
India,Robusta,1993,44.21
Indonesia,Robusta,1993,28.49
Liberia,Robusta,1993,0.0
Madagascar,Robusta,1993,36.27
Nigeria,Robusta,1993,36.08
Papua New Guinea,Robusta,1993,54.8
Philippines,Robusta,1993,46.45
Sierra Leone,Robusta,1993,0.0
Sri Lanka,Robusta,1993,28.89
Tanzania,Robusta,1993,11.88
Thailand,Robusta,1993,18.29
Togo,Robusta,1993,22.64
Trinidad & Tobago,Robusta,1993,72.2
Uganda,Robusta,1993,11.77
Viet Nam,Robusta,1993,34.53
Colombia,Arabica,1994,85.99
Kenya,Arabica,1994,152.61
Tanzania,Arabica,1994,62.16
Bolivia (Plurinational State of),Arabica,1994,79.92
Burundi,Arabica,1994,60.68
Cameroon,Arabica,1994,88.32
Costa Rica,Arabica,1994,81.36
Cuba,Arabica,1994,203.53
Democratic Republic of Congo,Arabica,1994,0.0
Dominican Republic,Arabica,1994,112.26
Ecuador,Arabica,1994,76.42
El Salvador,Arabica,1994,99.26
Guatemala,Arabica,1994,75.32
Haiti,Arabica,1994,25.87
Honduras,Arabica,1994,81.57
India,Arabica,1994,78.41
Jamaica,Arabica,1994,290.6
Madagascar,Arabica,1994,0.0
Malawi,Arabica,1994,92.41
Mexico,Arabica,1994,157.91
Nicaragua,Arabica,1994,0.0
Panama,Arabica,1994,80.12
Papua New Guinea,Arabica,1994,149.08
Peru,Arabica,1994,88.14
Rwanda,Arabica,1994,49.42
Sri Lanka,Arabica,1994,71.99
Uganda,Arabica,1994,75.5
Venezuela,Arabica,1994,0.0
Zambia,Arabica,1994,88.27
Zimbabwe,Arabica,1994,0.0
Angola,Arabica,1994,0.0
Brazil,Arabica,1994,114.57
Ethiopia,Arabica,1994,109.55
Indonesia,Arabica,1994,173.51
Philippines,Arabica,1994,99.62
Thailand,Arabica,1994,0.0
Viet Nam,Arabica,1994,0.0
Angola,Robusta,1994,0.0
Benin,Robusta,1994,0.0
Brazil,Robusta,1994,85.43
Burundi,Robusta,1994,41.45
Cameroon,Robusta,1994,29.85
Central African Republic,Robusta,1994,32.74
Congo,Robusta,1994,8.77
Côte d'Ivoire,Robusta,1994,29.78
Democratic Republic of Congo,Robusta,1994,0.0
Ecuador,Robusta,1994,63.29
Gabon,Robusta,1994,27.76
Ghana,Robusta,1994,0.0
Guinea,Robusta,1994,61.33
India,Robusta,1994,56.46
Indonesia,Robusta,1994,91.38
Liberia,Robusta,1994,0.0
Madagascar,Robusta,1994,43.99
Nigeria,Robusta,1994,51.55
Papua New Guinea,Robusta,1994,95.64
Philippines,Robusta,1994,94.66
Sierra Leone,Robusta,1994,0.0
Sri Lanka,Robusta,1994,71.99
Tanzania,Robusta,1994,24.0
Thailand,Robusta,1994,18.79
Togo,Robusta,1994,25.99
Trinidad & Tobago,Robusta,1994,64.14
Uganda,Robusta,1994,41.66
Viet Nam,Robusta,1994,86.01
Colombia,Arabica,1995,99.62
Kenya,Arabica,1995,140.17
Tanzania,Arabica,1995,86.76
Bolivia (Plurinational State of),Arabica,1995,76.99
Burundi,Arabica,1995,56.69
Cameroon,Arabica,1995,85.26
Costa Rica,Arabica,1995,88.23
Cuba,Arabica,1995,188.6
Democratic Republic of Congo,Arabica,1995,51.12
Dominican Republic,Arabica,1995,109.26
Ecuador,Arabica,1995,173.3
El Salvador,Arabica,1995,100.51
Guatemala,Arabica,1995,99.34
Haiti,Arabica,1995,36.3
Honduras,Arabica,1995,102.55
India,Arabica,1995,84.72
Jamaica,Arabica,1995,284.24
Madagascar,Arabica,1995,87.35
Malawi,Arabica,1995,125.3
Mexico,Arabica,1995,162.79
Nicaragua,Arabica,1995,0.0
Panama,Arabica,1995,97.38
Papua New Guinea,Arabica,1995,83.98
Peru,Arabica,1995,95.84
Rwanda,Arabica,1995,54.93
Sri Lanka,Arabica,1995,98.99
Uganda,Arabica,1995,68.26
Venezuela,Arabica,1995,0.0
Zambia,Arabica,1995,69.26
Zimbabwe,Arabica,1995,0.0
Angola,Arabica,1995,0.0
Brazil,Arabica,1995,115.52
Ethiopia,Arabica,1995,115.02
Indonesia,Arabica,1995,0.0
Philippines,Arabica,1995,106.3
Thailand,Arabica,1995,0.0
Viet Nam,Arabica,1995,0.0
Angola,Robusta,1995,0.0
Benin,Robusta,1995,0.0
Brazil,Robusta,1995,97.5
Burundi,Robusta,1995,42.34
Cameroon,Robusta,1995,52.08
Central African Republic,Robusta,1995,57.19
Congo,Robusta,1995,27.28
Côte d'Ivoire,Robusta,1995,59.4
Democratic Republic of Congo,Robusta,1995,28.35
Ecuador,Robusta,1995,143.62
Gabon,Robusta,1995,40.92
Ghana,Robusta,1995,0.0
Guinea,Robusta,1995,92.26
India,Robusta,1995,66.53
Indonesia,Robusta,1995,95.67
Liberia,Robusta,1995,0.0
Madagascar,Robusta,1995,58.73
Nigeria,Robusta,1995,0.0
Papua New Guinea,Robusta,1995,66.31
Philippines,Robusta,1995,104.31
Sierra Leone,Robusta,1995,0.0
Sri Lanka,Robusta,1995,93.24
Tanzania,Robusta,1995,44.61
Thailand,Robusta,1995,36.84
Togo,Robusta,1995,61.41
Trinidad & Tobago,Robusta,1995,63.89
Uganda,Robusta,1995,59.79
Viet Nam,Robusta,1995,95.18
Colombia,Arabica,1996,93.56
Kenya,Arabica,1996,110.04
Tanzania,Arabica,1996,62.53
Bolivia (Plurinational State of),Arabica,1996,57.18
Burundi,Arabica,1996,51.97
Cameroon,Arabica,1996,80.95
Costa Rica,Arabica,1996,92.78
Cuba,Arabica,1996,188.57
Democratic Republic of Congo,Arabica,1996,68.04
Dominican Republic,Arabica,1996,87.67
Ecuador,Arabica,1996,141.13
El Salvador,Arabica,1996,75.02
Guatemala,Arabica,1996,83.77
Haiti,Arabica,1996,28.14
Honduras,Arabica,1996,67.66
India,Arabica,1996,78.32
Jamaica,Arabica,1996,332.11
Madagascar,Arabica,1996,94.72
Malawi,Arabica,1996,95.66
Mexico,Arabica,1996,123.44
Nicaragua,Arabica,1996,0.0
Panama,Arabica,1996,100.91
Papua New Guinea,Arabica,1996,95.02
Peru,Arabica,1996,77.7
Rwanda,Arabica,1996,55.44
Sri Lanka,Arabica,1996,0.0
Uganda,Arabica,1996,53.0
Venezuela,Arabica,1996,0.0
Zambia,Arabica,1996,81.47
Zimbabwe,Arabica,1996,0.0
Angola,Arabica,1996,0.0
Brazil,Arabica,1996,96.35
Ethiopia,Arabica,1996,67.74
Indonesia,Arabica,1996,0.0
Philippines,Arabica,1996,76.31
Thailand,Arabica,1996,0.0
Viet Nam,Arabica,1996,0.0
Angola,Robusta,1996,0.0
Benin,Robusta,1996,0.0
Brazil,Robusta,1996,69.78
Burundi,Robusta,1996,40.45
Cameroon,Robusta,1996,51.02
Central African Republic,Robusta,1996,45.07
Congo,Robusta,1996,14.19
Côte d'Ivoire,Robusta,1996,57.7
Democratic Republic of Congo,Robusta,1996,32.89
Ecuador,Robusta,1996,97.51
Gabon,Robusta,1996,39.91
Ghana,Robusta,1996,0.0
Guinea,Robusta,1996,0.0
India,Robusta,1996,56.67
Indonesia,Robusta,1996,58.35
Liberia,Robusta,1996,0.0
Madagascar,Robusta,1996,61.06
Nigeria,Robusta,1996,0.0
Papua New Guinea,Robusta,1996,63.75
Philippines,Robusta,1996,68.91
Sierra Leone,Robusta,1996,0.0
Sri Lanka,Robusta,1996,0.0
Tanzania,Robusta,1996,32.2
Thailand,Robusta,1996,43.35
Togo,Robusta,1996,62.58
Trinidad & Tobago,Robusta,1996,63.25
Uganda,Robusta,1996,37.44
Viet Nam,Robusta,1996,57.42
Colombia,Arabica,1997,133.17
Kenya,Arabica,1997,184.0
Tanzania,Arabica,1997,118.52
Bolivia (Plurinational State of),Arabica,1997,100.07
Burundi,Arabica,1997,52.79
Cameroon,Arabica,1997,43.64
Costa Rica,Arabica,1997,98.26
Cuba,Arabica,1997,188.57
Democratic Republic of Congo,Arabica,1997,85.05
Dominican Republic,Arabica,1997,166.41
Ecuador,Arabica,1997,167.92
El Salvador,Arabica,1997,125.14
Guatemala,Arabica,1997,97.25
Haiti,Arabica,1997,29.37
Honduras,Arabica,1997,116.88
India,Arabica,1997,130.18
Jamaica,Arabica,1997,286.78
Madagascar,Arabica,1997,58.74
Malawi,Arabica,1997,108.75
Mexico,Arabica,1997,136.12
Nicaragua,Arabica,1997,0.0
Panama,Arabica,1997,126.55
Papua New Guinea,Arabica,1997,153.74
Peru,Arabica,1997,105.28
Rwanda,Arabica,1997,56.42
Sri Lanka,Arabica,1997,0.0
Uganda,Arabica,1997,80.31
Venezuela,Arabica,1997,0.0
Zambia,Arabica,1997,121.89
Zimbabwe,Arabica,1997,0.0
Angola,Arabica,1997,0.0
Brazil,Arabica,1997,145.41
Ethiopia,Arabica,1997,91.06
Indonesia,Arabica,1997,112.26
Philippines,Arabica,1997,79.74
Thailand,Arabica,1997,0.0
Viet Nam,Arabica,1997,0.0
Angola,Robusta,1997,0.0
Benin,Robusta,1997,0.0
Brazil,Robusta,1997,77.86
Burundi,Robusta,1997,40.19
Cameroon,Robusta,1997,38.9
Central African Republic,Robusta,1997,38.36
Congo,Robusta,1997,0.0
Côte d'Ivoire,Robusta,1997,39.29
Democratic Republic of Congo,Robusta,1997,45.36
Ecuador,Robusta,1997,61.19
Gabon,Robusta,1997,37.9
Ghana,Robusta,1997,0.0
Guinea,Robusta,1997,0.0
India,Robusta,1997,76.3
Indonesia,Robusta,1997,58.43
Liberia,Robusta,1997,0.0
Madagascar,Robusta,1997,49.48
Nigeria,Robusta,1997,0.0
Papua New Guinea,Robusta,1997,75.43
Philippines,Robusta,1997,72.91
Sierra Leone,Robusta,1997,0.0
Sri Lanka,Robusta,1997,0.0
Tanzania,Robusta,1997,92.48
Thailand,Robusta,1997,21.85
Togo,Robusta,1997,44.89
Trinidad & Tobago,Robusta,1997,60.63
Uganda,Robusta,1997,41.69
Viet Nam,Robusta,1997,56.14
Colombia,Arabica,1998,102.08
Kenya,Arabica,1998,179.9
Tanzania,Arabica,1998,90.7
Bolivia (Plurinational State of),Arabica,1998,131.09
Burundi,Arabica,1998,52.22
Cameroon,Arabica,1998,66.83
Costa Rica,Arabica,1998,92.66
Cuba,Arabica,1998,188.57
Democratic Republic of Congo,Arabica,1998,63.14
Dominican Republic,Arabica,1998,95.25
Ecuador,Arabica,1998,110.6
El Salvador,Arabica,1998,85.05
Guatemala,Arabica,1998,102.45
Haiti,Arabica,1998,30.95
Honduras,Arabica,1998,93.26
India,Arabica,1998,99.47
Jamaica,Arabica,1998,215.45
Madagascar,Arabica,1998,50.35
Malawi,Arabica,1998,101.52
Mexico,Arabica,1998,101.69
Nicaragua,Arabica,1998,0.0
Panama,Arabica,1998,111.76
Papua New Guinea,Arabica,1998,104.85
Peru,Arabica,1998,75.43
Rwanda,Arabica,1998,55.65
Sri Lanka,Arabica,1998,0.0
Uganda,Arabica,1998,78.75
Venezuela,Arabica,1998,0.0
Zambia,Arabica,1998,130.83
Zimbabwe,Arabica,1998,0.0
Angola,Arabica,1998,0.0
Brazil,Arabica,1998,105.25
Ethiopia,Arabica,1998,91.86
Indonesia,Arabica,1998,99.41
Philippines,Arabica,1998,81.87
Thailand,Arabica,1998,0.0
Viet Nam,Arabica,1998,0.0
Angola,Robusta,1998,0.0
Benin,Robusta,1998,0.0
Brazil,Robusta,1998,77.75
Burundi,Robusta,1998,35.36
Cameroon,Robusta,1998,36.46
Central African Republic,Robusta,1998,37.86
Congo,Robusta,1998,0.0
Côte d'Ivoire,Robusta,1998,40.14
Democratic Republic of Congo,Robusta,1998,44.28
Ecuador,Robusta,1998,66.63
Gabon,Robusta,1998,50.26
Ghana,Robusta,1998,0.0
Guinea,Robusta,1998,0.0
India,Robusta,1998,75.62
Indonesia,Robusta,1998,59.37
Liberia,Robusta,1998,0.0
Madagascar,Robusta,1998,48.25
Nigeria,Robusta,1998,0.0
Papua New Guinea,Robusta,1998,59.15
Philippines,Robusta,1998,76.66
Sierra Leone,Robusta,1998,0.0
Sri Lanka,Robusta,1998,0.0
Tanzania,Robusta,1998,28.19
Thailand,Robusta,1998,27.33
Togo,Robusta,1998,49.93
Trinidad & Tobago,Robusta,1998,60.29
Uganda,Robusta,1998,40.02
Viet Nam,Robusta,1998,65.87
Colombia,Arabica,1999,86.38
Kenya,Arabica,1999,105.19
Tanzania,Arabica,1999,65.88
Bolivia (Plurinational State of),Arabica,1999,98.71
Burundi,Arabica,1999,46.57
Cameroon,Arabica,1999,88.41
Costa Rica,Arabica,1999,79.55
Cuba,Arabica,1999,188.57
Democratic Republic of Congo,Arabica,1999,0.0
Dominican Republic,Arabica,1999,74.18
Ecuador,Arabica,1999,78.05
El Salvador,Arabica,1999,56.92
Guatemala,Arabica,1999,79.24
Haiti,Arabica,1999,22.9
Honduras,Arabica,1999,61.48
India,Arabica,1999,67.44
Jamaica,Arabica,1999,177.27
Madagascar,Arabica,1999,43.49
Malawi,Arabica,1999,77.64
Mexico,Arabica,1999,80.9
Nicaragua,Arabica,1999,0.0
Panama,Arabica,1999,0.0
Papua New Guinea,Arabica,1999,60.82
Peru,Arabica,1999,59.73
Rwanda,Arabica,1999,45.33
Sri Lanka,Arabica,1999,0.0
Uganda,Arabica,1999,46.56
Venezuela,Arabica,1999,0.0
Zambia,Arabica,1999,119.7
Zimbabwe,Arabica,1999,0.0
Angola,Arabica,1999,0.0
Brazil,Arabica,1999,74.07
Ethiopia,Arabica,1999,65.64
Indonesia,Arabica,1999,0.0
Philippines,Arabica,1999,64.89
Thailand,Arabica,1999,0.0
Viet Nam,Arabica,1999,0.0
Angola,Robusta,1999,0.0
Benin,Robusta,1999,0.0
Brazil,Robusta,1999,56.93
Burundi,Robusta,1999,0.0
Cameroon,Robusta,1999,31.3
Central African Republic,Robusta,1999,29.71
Congo,Robusta,1999,0.0
Côte d'Ivoire,Robusta,1999,38.81
Democratic Republic of Congo,Robusta,1999,88.18
Ecuador,Robusta,1999,47.48
Gabon,Robusta,1999,59.01
Ghana,Robusta,1999,0.0
Guinea,Robusta,1999,0.0
India,Robusta,1999,57.61
Indonesia,Robusta,1999,46.55
Liberia,Robusta,1999,0.0
Madagascar,Robusta,1999,38.05
Nigeria,Robusta,1999,0.0
Papua New Guinea,Robusta,1999,37.7
Philippines,Robusta,1999,60.14
Sierra Leone,Robusta,1999,0.0
Sri Lanka,Robusta,1999,0.0
Tanzania,Robusta,1999,23.52
Thailand,Robusta,1999,31.31
Togo,Robusta,1999,43.22
Trinidad & Tobago,Robusta,1999,79.23
Uganda,Robusta,1999,31.52
Viet Nam,Robusta,1999,50.7
Colombia,Arabica,2000,74.96
Kenya,Arabica,2000,72.98
Tanzania,Arabica,2000,54.32
Bolivia (Plurinational State of),Arabica,2000,78.05
Burundi,Arabica,2000,37.35
Cameroon,Arabica,2000,33.22
Costa Rica,Arabica,2000,69.28
Cuba,Arabica,2000,188.57
Democratic Republic of Congo,Arabica,2000,0.0
Dominican Republic,Arabica,2000,68.01
Ecuador,Arabica,2000,65.97
El Salvador,Arabica,2000,44.55
Guatemala,Arabica,2000,70.37
Haiti,Arabica,2000,22.49
Honduras,Arabica,2000,54.29
India,Arabica,2000,63.75
Jamaica,Arabica,2000,208.44
Madagascar,Arabica,2000,155.83
Malawi,Arabica,2000,57.6
Mexico,Arabica,2000,64.08
Nicaragua,Arabica,2000,0.0
Panama,Arabica,2000,0.0
Papua New Guinea,Arabica,2000,49.28
Peru,Arabica,2000,53.86
Rwanda,Arabica,2000,34.08
Sri Lanka,Arabica,2000,0.0
Uganda,Arabica,2000,41.0
Venezuela,Arabica,2000,0.0
Zambia,Arabica,2000,91.86
Zimbabwe,Arabica,2000,0.0
Angola,Arabica,2000,0.0
Brazil,Arabica,2000,65.98
Ethiopia,Arabica,2000,56.42
Indonesia,Arabica,2000,68.41
Philippines,Arabica,2000,37.04
Thailand,Arabica,2000,0.0
Viet Nam,Arabica,2000,0.0
Angola,Robusta,2000,51.74
Benin,Robusta,2000,0.0
Brazil,Robusta,2000,41.53
Burundi,Robusta,2000,0.0
Cameroon,Robusta,2000,30.44
Central African Republic,Robusta,2000,18.28
Congo,Robusta,2000,0.0
Côte d'Ivoire,Robusta,2000,23.85
Democratic Republic of Congo,Robusta,2000,45.04
Ecuador,Robusta,2000,32.7
Gabon,Robusta,2000,51.11
Ghana,Robusta,2000,0.0
Guinea,Robusta,2000,0.0
India,Robusta,2000,35.87
Indonesia,Robusta,2000,22.4
Liberia,Robusta,2000,0.0
Madagascar,Robusta,2000,109.0
Nigeria,Robusta,2000,0.0
Papua New Guinea,Robusta,2000,21.89
Philippines,Robusta,2000,34.2
Sierra Leone,Robusta,2000,0.0
Sri Lanka,Robusta,2000,0.0
Tanzania,Robusta,2000,15.29
Thailand,Robusta,2000,12.35
Togo,Robusta,2000,22.92
Trinidad & Tobago,Robusta,2000,0.0
Uganda,Robusta,2000,19.92
Viet Nam,Robusta,2000,26.55
Colombia,Arabica,2001,57.95
Kenya,Arabica,2001,69.4
Tanzania,Arabica,2001,34.86
Bolivia (Plurinational State of),Arabica,2001,0.0
Burundi,Arabica,2001,32.19
Cameroon,Arabica,2001,19.09
Costa Rica,Arabica,2001,46.69
Cuba,Arabica,2001,188.57
Democratic Republic of Congo,Arabica,2001,0.0
Dominican Republic,Arabica,2001,42.04
Ecuador,Arabica,2001,27.28
El Salvador,Arabica,2001,17.63
Guatemala,Arabica,2001,45.35
Haiti,Arabica,2001,0.0
Honduras,Arabica,2001,34.32
India,Arabica,2001,43.82
Jamaica,Arabica,2001,169.59
Madagascar,Arabica,2001,64.59
Malawi,Arabica,2001,46.42
Mexico,Arabica,2001,53.98
Nicaragua,Arabica,2001,29.65
Panama,Arabica,2001,0.0
Papua New Guinea,Arabica,2001,32.97
Peru,Arabica,2001,34.77
Rwanda,Arabica,2001,23.26
Sri Lanka,Arabica,2001,0.0
Uganda,Arabica,2001,27.51
Venezuela,Arabica,2001,0.0
Zambia,Arabica,2001,65.73
Zimbabwe,Arabica,2001,0.0
Angola,Arabica,2001,0.0
Brazil,Arabica,2001,37.05
Ethiopia,Arabica,2001,43.78
Indonesia,Arabica,2001,53.61
Philippines,Arabica,2001,49.36
Thailand,Arabica,2001,0.0
Viet Nam,Arabica,2001,0.0
Angola,Robusta,2001,18.61
Benin,Robusta,2001,0.0
Brazil,Robusta,2001,19.35
Burundi,Robusta,2001,0.0
Cameroon,Robusta,2001,21.13
Central African Republic,Robusta,2001,13.22
Congo,Robusta,2001,0.0
Côte d'Ivoire,Robusta,2001,0.0
Democratic Republic of Congo,Robusta,2001,7.95
Ecuador,Robusta,2001,11.26
Gabon,Robusta,2001,47.93
Ghana,Robusta,2001,0.0
Guinea,Robusta,2001,0.0
India,Robusta,2001,23.44
Indonesia,Robusta,2001,13.57
Liberia,Robusta,2001,0.0
Madagascar,Robusta,2001,51.66
