Countries,Year,Exports of all forms of Coffee in (x1000 60kg) bags
Bolivia (Plurinational State of),1997,111
Brazil,1997,16801
Burundi,1997,529
Cameroon,1997,1368
Central African Republic,1997,203
Colombia,1997,10919
Congo,1997,3
Costa Rica,1997,2099
Côte d'Ivoire,1997,4713
Cuba,1997,107
Democratic Republic of Congo,1997,544
Dominican Republic,1997,307
Ecuador,1997,1045
El Salvador,1997,2772
Equatorial Guinea,1997,1
Ethiopia,1997,1980
Gabon,1997,0
Ghana,1997,30
Guatemala,1997,4244
Guinea,1997,114
Guyana,1997,0
Haiti,1997,101
Honduras,1997,1722
India,1997,2640
Indonesia,1997,5755
Jamaica,1997,30
Kenya,1997,1159
Lao People's Democratic Republic,1997,110
Liberia,1997,0
Madagascar,1997,480
Malawi,1997,60
Mexico,1997,4502
Nepal,1997,0
Nicaragua,1997,714
Nigeria,1997,7
Panama,1997,124
Papua New Guinea,1997,1043
Paraguay,1997,35
Peru,1997,1648
Philippines,1997,31
Rwanda,1997,218
Sierra Leone,1997,47
Sri Lanka,1997,21
Tanzania,1997,655
Thailand,1997,1066
Timor-Leste,1997,0
Togo,1997,313
Trinidad & Tobago,1997,4
Uganda,1997,3502
Venezuela,1997,105
Viet Nam,1997,6178
Yemen,1997,80
Zambia,1997,39
Zimbabwe,1997,109
Angola,1998,54
Bolivia (Plurinational State of),1998,97
Brazil,1998,18144
Burundi,1998,374
Cameroon,1998,746
Central African Republic,1998,102
Colombia,1998,11260
Congo,1998,0
Costa Rica,1998,2045
Côte d'Ivoire,1998,4365
Cuba,1998,152
Democratic Republic of Congo,1998,640
Dominican Republic,1998,360
Ecuador,1998,1056
El Salvador,1998,1684
Equatorial Guinea,1998,2
Ethiopia,1998,1917
Gabon,1998,2
Ghana,1998,18
Guatemala,1998,3542
Guinea,1998,228
Guyana,1998,0
Haiti,1998,127
Honduras,1998,2329
India,1998,3487
Indonesia,1998,5598
Jamaica,1998,17
Kenya,1998,841
Lao People's Democratic Republic,1998,112
Liberia,1998,3
Madagascar,1998,796
Malawi,1998,59
Mexico,1998,3399
Nepal,1998,0
Nicaragua,1998,941
Nigeria,1998,10
Panama,1998,145
Papua New Guinea,1998,1349
Paraguay,1998,19
Peru,1998,1949
Philippines,1998,21
Rwanda,1998,214
Sierra Leone,1998,42
Sri Lanka,1998,27
Tanzania,1998,742
Thailand,1998,778
Timor-Leste,1998,0
Togo,1998,166
Trinidad & Tobago,1998,5
Uganda,1998,3286
Venezuela,1998,268
Viet Nam,1998,6467
Yemen,1998,71
Zambia,1998,33
Zimbabwe,1998,153
Angola,1999,50
Bolivia (Plurinational State of),1999,124
Brazil,1999,23149
Burundi,1999,409
Cameroon,1999,1154
Central African Republic,1999,195
Colombia,1999,9995
Congo,1999,0
Costa Rica,1999,2195
Côte d'Ivoire,1999,2406
Cuba,1999,77
Democratic Republic of Congo,1999,487
Dominican Republic,1999,161
Ecuador,1999,988
El Salvador,1999,1890
Equatorial Guinea,1999,1
Ethiopia,1999,1818
Gabon,1999,3
Ghana,1999,94
Guatemala,1999,4681
Guinea,1999,301
Guyana,1999,1
Haiti,1999,72
Honduras,1999,1987
India,1999,3622
Indonesia,1999,5115
Jamaica,1999,24
Kenya,1999,1114
Lao People's Democratic Republic,1999,191
Liberia,1999,15
Madagascar,1999,464
Malawi,1999,54
Mexico,1999,4358
Nepal,1999,0
Nicaragua,1999,984
Nigeria,1999,9
Panama,1999,118
Papua New Guinea,1999,1320
Paraguay,1999,3
Peru,1999,2407
Philippines,1999,9
Rwanda,1999,314
Sierra Leone,1999,23
Sri Lanka,1999,17
Tanzania,1999,643
Thailand,1999,493
Timor-Leste,1999,0
Togo,1999,321
Trinidad & Tobago,1999,3
Uganda,1999,3841
Venezuela,1999,464
Viet Nam,1999,7727
Yemen,1999,68
Zambia,1999,51
Zimbabwe,1999,131
Angola,2000,22
Bolivia (Plurinational State of),2000,106
Brazil,2000,18016
Burundi,2000,444
Cameroon,2000,1205
Central African Republic,2000,203
Colombia,2000,9177
Congo,2000,0
Costa Rica,2000,1965
Côte d'Ivoire,2000,6110
Cuba,2000,113
Democratic Republic of Congo,2000,281
Dominican Republic,2000,155
Ecuador,2000,697
El Salvador,2000,2537
Equatorial Guinea,2000,0
Ethiopia,2000,1982
Gabon,2000,1
Ghana,2000,91
Guatemala,2000,4852
Guinea,2000,292
Guyana,2000,1
Haiti,2000,73
Honduras,2000,2879
India,2000,4229
Indonesia,2000,5358
Jamaica,2000,29
Kenya,2000,1328
Lao People's Democratic Republic,2000,255
Liberia,2000,4
Madagascar,2000,216
Malawi,2000,61
Mexico,2000,5304
Nepal,2000,0
Nicaragua,2000,1367
Nigeria,2000,7
Panama,2000,72
Papua New Guinea,2000,1043
Paraguay,2000,5
Peru,2000,2362
Philippines,2000,5
Rwanda,2000,270
Sierra Leone,2000,40
Sri Lanka,2000,2
Tanzania,2000,740
Thailand,2000,970
Timor-Leste,2000,1
Togo,2000,283
Trinidad & Tobago,2000,3
Uganda,2000,2513
Venezuela,2000,38
Viet Nam,2000,11618
Yemen,2000,58
Zambia,2000,65
Zimbabwe,2000,117
Angola,2001,14
Bolivia (Plurinational State of),2001,70
Brazil,2001,23172
Burundi,2001,303
Cameroon,2001,1125
Central African Republic,2001,94
Colombia,2001,9944
Congo,2001,0
Costa Rica,2001,2018
Côte d'Ivoire,2001,4095
Cuba,2001,109
Democratic Republic of Congo,2001,133
Dominican Republic,2001,97
Ecuador,2001,756
El Salvador,2001,1533
Equatorial Guinea,2001,0
Ethiopia,2001,1376
Gabon,2001,2
Ghana,2001,57
Guatemala,2001,4110
Guinea,2001,356
Guyana,2001,1
Haiti,2001,87
Honduras,2001,2392
India,2001,3730
Indonesia,2001,5243
Jamaica,2001,28
Kenya,2001,1096
Lao People's Democratic Republic,2001,198
Liberia,2001,7
Madagascar,2001,87
Malawi,2001,64
Mexico,2001,3333
Nepal,2001,0
Nicaragua,2001,1365
Nigeria,2001,7
Panama,2001,57
Papua New Guinea,2001,1095
Paraguay,2001,1
Peru,2001,2663
Philippines,2001,3
Rwanda,2001,279
Sierra Leone,2001,36
Sri Lanka,2001,4
Tanzania,2001,866
Thailand,2001,1148
Timor-Leste,2001,32
Togo,2001,193
Trinidad & Tobago,2001,3
Uganda,2001,3060
Venezuela,2001,26
Viet Nam,2001,14106
Yemen,2001,66
Zambia,2001,115
Zimbabwe,2001,105
Angola,2002,9
Bolivia (Plurinational State of),2002,79
Brazil,2002,27982
Burundi,2002,289
Cameroon,2002,640
Central African Republic,2002,95
Colombia,2002,10273
Congo,2002,0
Costa Rica,2002,1784
Côte d'Ivoire,2002,3253
Cuba,2002,57
Democratic Republic of Congo,2002,179
Dominican Republic,2002,117
Ecuador,2002,565
El Salvador,2002,1533
Equatorial Guinea,2002,0
Ethiopia,2002,2055
Gabon,2002,0
Ghana,2002,25
Guatemala,2002,3491
Guinea,2002,136
Guyana,2002,1
Haiti,2002,41
Honduras,2002,2711
India,2002,3550
Indonesia,2002,4286
Jamaica,2002,26
Kenya,2002,736
Lao People's Democratic Republic,2002,278
Liberia,2002,6
Madagascar,2002,145
Malawi,2002,44
Mexico,2002,2645
Nepal,2002,0
Nicaragua,2002,955
Nigeria,2002,5
Panama,2002,83
Papua New Guinea,2002,1057
Paraguay,2002,21
Peru,2002,2789
Philippines,2002,7
Rwanda,2002,330
Sierra Leone,2002,80
Sri Lanka,2002,3
Tanzania,2002,496
Thailand,2002,253
Timor-Leste,2002,30
Togo,2002,100
Trinidad & Tobago,2002,2
Uganda,2002,3358
Venezuela,2002,192
Viet Nam,2002,11771
Yemen,2002,61
Zambia,2002,99
Zimbabwe,2002,119
Angola,2003,17
Bolivia (Plurinational State of),2003,73
Brazil,2003,25711
Burundi,2003,476
Cameroon,2003,814
Central African Republic,2003,40
Colombia,2003,10244
Congo,2003,0
Costa Rica,2003,1702
Côte d'Ivoire,2003,2647
Cuba,2003,50
Democratic Republic of Congo,2003,212
Dominican Republic,2003,151
Ecuador,2003,621
El Salvador,2003,1304
Equatorial Guinea,2003,0
Ethiopia,2003,2229
Gabon,2003,1
Ghana,2003,25
Guatemala,2003,3821
Guinea,2003,355
Guyana,2003,1
Haiti,2003,37
Honduras,2003,2425
India,2003,3707
Indonesia,2003,4795
Jamaica,2003,25
Kenya,2003,920
Lao People's Democratic Republic,2003,233
Liberia,2003,7
Madagascar,2003,119
Malawi,2003,49
Mexico,2003,2596
Nepal,2003,2
Nicaragua,2003,1013
Nigeria,2003,9
Panama,2003,86
Papua New Guinea,2003,1147
Paraguay,2003,31
Peru,2003,2503
Philippines,2003,12
Rwanda,2003,245
Sierra Leone,2003,34
Sri Lanka,2003,6
Tanzania,2003,883
Thailand,2003,181
Timor-Leste,2003,46
Togo,2003,72
Trinidad & Tobago,2003,2
Uganda,2003,2522
Venezuela,2003,260
Viet Nam,2003,11631
Yemen,2003,55
Zambia,2003,130
Zimbabwe,2003,97
Angola,2004,6
Bolivia (Plurinational State of),2004,93
Brazil,2004,26478
Burundi,2004,339
Cameroon,2004,734
Central African Republic,2004,64
Colombia,2004,10194
Congo,2004,0
Costa Rica,2004,1424
Côte d'Ivoire,2004,2573
Cuba,2004,25
Democratic Republic of Congo,2004,253
Dominican Republic,2004,46
Ecuador,2004,704
El Salvador,2004,1328
Equatorial Guinea,2004,0
Ethiopia,2004,2491
Gabon,2004,0
Ghana,2004,22
Guatemala,2004,3310
Guinea,2004,296
Guyana,2004,1
Haiti,2004,32
Honduras,2004,2779
India,2004,3647
Indonesia,2004,5456
Jamaica,2004,29
Kenya,2004,754
Lao People's Democratic Republic,2004,267
Liberia,2004,0
Madagascar,2004,127
Malawi,2004,26
Mexico,2004,2362
Nepal,2004,1
Nicaragua,2004,1311
Nigeria,2004,6
Panama,2004,99
Papua New Guinea,2004,1048
Paraguay,2004,17
Peru,2004,3184
Philippines,2004,29
Rwanda,2004,450
Sierra Leone,2004,23
Sri Lanka,2004,7
Tanzania,2004,553
Thailand,2004,420
Timor-Leste,2004,22
Togo,2004,149
Trinidad & Tobago,2004,2
Uganda,2004,2627
Venezuela,2004,170
Viet Nam,2004,14859
Yemen,2004,45
Zambia,2004,104
Zimbabwe,2004,113
Angola,2005,5
Bolivia (Plurinational State of),2005,84
Brazil,2005,26198
Burundi,2005,371
Cameroon,2005,704
Central African Republic,2005,47
Colombia,2005,10871
Congo,2005,0
Costa Rica,2005,1480
Côte d'Ivoire,2005,1754
Cuba,2005,24
Democratic Republic of Congo,2005,158
Dominican Republic,2005,42
Ecuador,2005,993
El Salvador,2005,1280
Equatorial Guinea,2005,0
Ethiopia,2005,2435
Gabon,2005,0
Ghana,2005,18
Guatemala,2005,3466
Guinea,2005,279
Guyana,2005,1
Haiti,2005,25
Honduras,2005,2392
India,2005,2829
Indonesia,2005,6744
Jamaica,2005,15
Kenya,2005,673
Lao People's Democratic Republic,2005,237
Liberia,2005,1
Madagascar,2005,96
Malawi,2005,21
Mexico,2005,1985
Nepal,2005,1
Nicaragua,2005,1003
Nigeria,2005,8
Panama,2005,90
Papua New Guinea,2005,1200
Paraguay,2005,24
Peru,2005,2369
Philippines,2005,34
Rwanda,2005,236
Sierra Leone,2005,20
Sri Lanka,2005,3
Tanzania,2005,712
Thailand,2005,375
Timor-Leste,2005,18
Togo,2005,164
Trinidad & Tobago,2005,1
Uganda,2005,2369
Venezuela,2005,22
Viet Nam,2005,13432
Yemen,2005,78
Zambia,2005,106
Zimbabwe,2005,71
Angola,2006,5
Bolivia (Plurinational State of),2006,93
Brazil,2006,27369
Burundi,2006,281
Cameroon,2006,739
Central African Republic,2006,17
Colombia,2006,10945
Congo,2006,0
Costa Rica,2006,1310
Côte d'Ivoire,2006,1751
Cuba,2006,16
Democratic Republic of Congo,2006,138
Dominican Republic,2006,125
Ecuador,2006,1015
El Salvador,2006,1293
Equatorial Guinea,2006,0
Ethiopia,2006,2936
Gabon,2006,1
Ghana,2006,9
Guatemala,2006,3312
Guinea,2006,519
Guyana,2006,2
Haiti,2006,24
Honduras,2006,2898
India,2006,3578
Indonesia,2006,5280
Jamaica,2006,25
Kenya,2006,597
Lao People's Democratic Republic,2006,120
Liberia,2006,0
Madagascar,2006,179
Malawi,2006,17
Mexico,2006,2570
Nepal,2006,1
Nicaragua,2006,1445
Nigeria,2006,28
Panama,2006,107
Papua New Guinea,2006,849
Paraguay,2006,25
Peru,2006,3881
Philippines,2006,38
Rwanda,2006,389
Sierra Leone,2006,51
Sri Lanka,2006,7
Tanzania,2006,732
Thailand,2006,540
Timor-Leste,2006,49
Togo,2006,118
Trinidad & Tobago,2006,1
Uganda,2006,2173
Venezuela,2006,65
Viet Nam,2006,13905
Yemen,2006,61
Zambia,2006,78
Zimbabwe,2006,54
Angola,2007,4
Bolivia (Plurinational State of),2007,84
Brazil,2007,28184
Burundi,2007,356
Cameroon,2007,721
Central African Republic,2007,122
Colombia,2007,11300
Congo,2007,0
Costa Rica,2007,1364
Côte d'Ivoire,2007,2196
Cuba,2007,16
Democratic Republic of Congo,2007,200
Dominican Republic,2007,78
Ecuador,2007,991
El Salvador,2007,1210
Equatorial Guinea,2007,0
Ethiopia,2007,2604
Gabon,2007,0
Ghana,2007,22
Guatemala,2007,3726
Guinea,2007,436
Guyana,2007,2
Haiti,2007,21
Honduras,2007,3312
India,2007,3319
Indonesia,2007,4149
Jamaica,2007,23
Kenya,2007,817
Lao People's Democratic Republic,2007,252
Liberia,2007,2
Madagascar,2007,99
Malawi,2007,19
Mexico,2007,2912
Nepal,2007,2
Nicaragua,2007,1259
Nigeria,2007,9
Panama,2007,109
Papua New Guinea,2007,909
Paraguay,2007,31
Peru,2007,2879
Philippines,2007,32
Rwanda,2007,256
Sierra Leone,2007,51
Sri Lanka,2007,4
Tanzania,2007,807
Thailand,2007,365
Timor-Leste,2007,31
Togo,2007,155
Trinidad & Tobago,2007,1
Uganda,2007,2693
Venezuela,2007,70
Viet Nam,2007,17936
Yemen,2007,72
Zambia,2007,54
Zimbabwe,2007,32
Angola,2008,6
Bolivia (Plurinational State of),2008,68
Brazil,2008,29510
Burundi,2008,251
Cameroon,2008,527
Central African Republic,2008,33
Colombia,2008,11085
Congo,2008,0
Costa Rica,2008,1440
Côte d'Ivoire,2008,1490
Cuba,2008,4
Democratic Republic of Congo,2008,203
Dominican Republic,2008,82
Ecuador,2008,868
El Salvador,2008,1438
Equatorial Guinea,2008,0
Ethiopia,2008,2852
Gabon,2008,0
Ghana,2008,36
Guatemala,2008,3778
Guinea,2008,208
Guyana,2008,2
Haiti,2008,17
Honduras,2008,3259
India,2008,3377
Indonesia,2008,5741
Jamaica,2008,21
Kenya,2008,608
Lao People's Democratic Republic,2008,258
Liberia,2008,2
Madagascar,2008,196
Malawi,2008,21
Mexico,2008,2448
Nepal,2008,1
Nicaragua,2008,1625
Nigeria,2008,2
Panama,2008,114
Papua New Guinea,2008,1096
Paraguay,2008,1
Peru,2008,3733
Philippines,2008,4
Rwanda,2008,326
Sierra Leone,2008,26
Sri Lanka,2008,2
Tanzania,2008,818
Thailand,2008,175
Timor-Leste,2008,50
Togo,2008,121
Trinidad & Tobago,2008,1
Uganda,2008,3311
Venezuela,2008,125
Viet Nam,2008,16101
Yemen,2008,67
Zambia,2008,48
Zimbabwe,2008,23
Angola,2009,7
Bolivia (Plurinational State of),2009,83
Brazil,2009,30378
Burundi,2009,289
Cameroon,2009,618
Central African Republic,2009,62
Colombia,2009,7894
Congo,2009,0
Costa Rica,2009,1236
Côte d'Ivoire,2009,1807
Cuba,2009,7
Democratic Republic of Congo,2009,161
Dominican Republic,2009,102
Ecuador,2009,1086
El Salvador,2009,1309
Equatorial Guinea,2009,0
Ethiopia,2009,1851
Gabon,2009,1
Ghana,2009,24
Guatemala,2009,3493
Guinea,2009,439
Guyana,2009,1
Haiti,2009,16
Honduras,2009,3084
India,2009,3007
Indonesia,2009,7907
Jamaica,2009,25
Kenya,2009,525
Lao People's Democratic Republic,2009,264
Liberia,2009,9
Madagascar,2009,40
Malawi,2009,18
Mexico,2009,2838
Nepal,2009,2
Nicaragua,2009,1374
Nigeria,2009,1
Panama,2009,59
Papua New Guinea,2009,1027
Paraguay,2009,0
Peru,2009,3074
Philippines,2009,7
Rwanda,2009,304
Sierra Leone,2009,104
Sri Lanka,2009,1
Tanzania,2009,1157
Thailand,2009,185
Timor-Leste,2009,43
Togo,2009,152
Trinidad & Tobago,2009,0
Uganda,2009,3014
Venezuela,2009,18
Viet Nam,2009,17052
Yemen,2009,39
Zambia,2009,33
Zimbabwe,2009,18
Angola,2010,4
Bolivia (Plurinational State of),2010,78
Brazil,2010,33167
Burundi,2010,307
Cameroon,2010,794
Central African Republic,2010,95
Colombia,2010,7822
Congo,2010,0
Costa Rica,2010,1200
Côte d'Ivoire,2010,1912
Cuba,2010,5
Democratic Republic of Congo,2010,162
Dominican Republic,2010,41
Ecuador,2010,1202
El Salvador,2010,1082
Equatorial Guinea,2010,0
Ethiopia,2010,3324
Gabon,2010,1
Ghana,2010,7
Guatemala,2010,3468
Guinea,2010,406
Guyana,2010,1
Haiti,2010,9
Honduras,2010,3349
India,2010,4647
Indonesia,2010,5489
Jamaica,2010,15
Kenya,2010,531
Lao People's Democratic Republic,2010,288
Liberia,2010,7
Madagascar,2010,74
Malawi,2010,8
Mexico,2010,2498
Nepal,2010,1
Nicaragua,2010,1712
Nigeria,2010,3
Panama,2010,65
Papua New Guinea,2010,929
Paraguay,2010,0
Peru,2010,3817
Philippines,2010,6
Rwanda,2010,296
Sierra Leone,2010,58
Sri Lanka,2010,2
Tanzania,2010,556
Thailand,2010,370
Timor-Leste,2010,68
Togo,2010,198
Trinidad & Tobago,2010,1
Uganda,2010,2657
Venezuela,2010,19
Viet Nam,2010,14229
Yemen,2010,44
Zambia,2010,18
Zimbabwe,2010,7
Angola,2011,8
Bolivia (Plurinational State of),2011,74
Brazil,2011,33806
Burundi,2011,218
Cameroon,2011,490
Central African Republic,2011,78
Colombia,2011,7734
Congo,2011,0
Costa Rica,2011,1243
Côte d'Ivoire,2011,772
Cuba,2011,10
Democratic Republic of Congo,2011,132
Dominican Republic,2011,89
Ecuador,2011,1532
El Salvador,2011,1826
Equatorial Guinea,2011,0
Ethiopia,2011,2675
Gabon,2011,1
Ghana,2011,72
Guatemala,2011,3697
Guinea,2011,385
Guyana,2011,1
Haiti,2011,9
Honduras,2011,3947
India,2011,5414
Indonesia,2011,3920
Jamaica,2011,16
Kenya,2011,609
Lao People's Democratic Republic,2011,421
Liberia,2011,8
Madagascar,2011,144
Malawi,2011,26
Mexico,2011,2907
Nepal,2011,4
Nicaragua,2011,1468
Nigeria,2011,7
Panama,2011,53
Papua New Guinea,2011,1225
Paraguay,2011,0
Peru,2011,4697
